Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-NOV-2023,19028.85,19061.95,18926.05,18942.3,449849941,25426.29
02-NOV-2023,19074.55,19128.15,19028.15,19107.25,503435774,25846.56
03-NOV-2023,19215.9,19256.45,19200.3,19222.1,606967225,26005.12
06-NOV-2023,19333.2,19410.7,19300.35,19399.1,570290716,25071.73
07-NOV-2023,19398.25,19433.9,19331.55,19416.8,583344413,27987.31
08-NOV-2023,19466.9,19485.25,19426.45,19470.1,475889646,24870.58
09-NOV-2023,19489.15,19494.45,19398.6,19413.8,420617003,25714.11
10-NOV-2023,19371.55,19468.75,19344.9,19444.8,350513268,20014.37
12-NOV-2023,19571.2,19571.2,19528.55,19544.45,78027613,3575.48
13-NOV-2023,19508.6,19515.2,19436.6,19475.7,404054582,18883.68
15-NOV-2023,19675.5,19714.9,19611.05,19698.4,570431298,32926.28
16-NOV-2023,19701.65,19884.3,19652.6,19785.85,500734356,32671.11
17-NOV-2023,19704.6,19835.75,19696.1,19773.45,511307933,30228.56
20-NOV-2023,19779.55,19795.1,19715.15,19730.7,359339215,22463.34
21-NOV-2023,19807.5,19851.8,19788.05,19806.4,375930331,23874.5
22-NOV-2023,19810.3,19849.05,19716.95,19818.9,374382016,22744.61
23-NOV-2023,19839.7,19883.45,19802.25,19819.4,333405400,21040.05
24-NOV-2023,19831.8,19854.7,19792.75,19812.1,343963032,21230.13
28-NOV-2023,19867.75,19964.95,19832.5,19938.4,594376988,35369.56
29-NOV-2023,20037.25,20144.6,20021.3,20136.2,634530023,35402.47
30-NOV-2023,20152.85,20226.4,20063.4,20201.0,1178702032,70673.39
01-DEC-2023,20274.6,20365.45,20263.1,20339.45,657645334,33247.19
04-DEC-2023,20687.35,20773.7,20586.75,20757.95,901151552,48753.7
05-DEC-2023,20870.4,20957.65,20783.6,20949.25,901403385,61094.16
06-DEC-2023,21055.1,21093.0,20978.1,21074.15,840234503,58781.31
07-DEC-2023,21086.25,21102.8,21014.2,21076.35,782044411,44973.58
08-DEC-2023,21125.2,21172.35,20981.7,21107.2,694035679,43143.59
11-DEC-2023,21114.75,21181.1,21089.3,21161.7,533166176,32731.9
12-DEC-2023,21191.9,21203.7,21009.9,21058.25,514383730,36613.2
13-DEC-2023,21088.35,21122.15,20930.25,21099.6,582960588,39020.29
14-DEC-2023,21279.4,21392.75,21252.7,21364.3,688012300,45780.38
15-DEC-2023,21471.2,21624.75,21411.35,21595.5,870774338,63115.26
18-DEC-2023,21585.2,21644.0,21510.15,21585.25,588118082,37577.96
19-DEC-2023,21647.45,21672.55,21494.4,21622.95,559550564,36541.36
20-DEC-2023,21728.65,21775.75,21206.35,21267.35,759546755,46703.73
21-DEC-2023,21135.3,21435.0,21073.9,21402.15,604176351,38559.44
22-DEC-2023,21461.25,21544.2,21382.2,21508.85,619500885,39309.67
26-DEC-2023,21539.4,21647.05,21504.6,21617.05,501502938,29199.8
27-DEC-2023,21683.9,21834.7,21678.4,21815.45,521903610,32669.0
28-DEC-2023,21879.85,21951.9,21836.95,21931.75,911293585,48837.59
29-DEC-2023,21903.45,21944.45,21847.5,21918.8,643426631,34406.81
01-JAN-2024,21928.7,22026.2,21877.3,21934.7,444471950,22539.56
02-JAN-2024,21955.8,21959.55,21727.35,21865.25,576351025,35151.32
03-JAN-2024,21877.6,21890.65,21752.55,21771.4,696284491,48913.23
04-JAN-2024,21865.4,21961.4,21830.9,21934.4,639761478,42733.46
05-JAN-2024,21988.5,22027.0,21882.25,21974.6,649620626,40077.4
08-JAN-2024,22016.7,22024.15,21750.25,21770.75,518386922,31602.65
09-JAN-2024,21915.65,21986.6,21788.7,21815.15,478429268,34214.29
10-JAN-2024,21806.1,21907.5,21704.5,21885.8,488569432,30964.29
11-JAN-2024,21963.75,22004.1,21886.65,21942.15,507324802,33915.9
12-JAN-2024,22065.1,22192.75,22003.15,22159.25,606464900,40156.87
15-JAN-2024,22313.0,22355.45,22202.7,22338.75,631132461,39473.83
16-JAN-2024,22329.8,22367.3,22204.55,22274.6,631405554,36407.83
17-JAN-2024,21925.6,22110.55,21819.9,21839.95,868166558,60563.45
18-JAN-2024,21698.3,21799.3,21509.1,21730.1,770175367,52072.16
19-JAN-2024,21882.8,21942.85,21849.65,21916.0,697367156,45568.4
20-JAN-2024,22003.95,22019.6,21854.55,21880.5,376849998,21967.95
23-JAN-2024,22037.65,22054.85,21464.75,21506.8,906351416,65262.77
24-JAN-2024,21469.95,21771.75,21391.8,21746.0,781366883,56469.56
25-JAN-2024,21763.65,21763.65,21541.85,21666.5,818690768,52062.69
29-JAN-2024,21752.1,22066.75,21744.2,22041.6,831965951,50274.21
30-JAN-2024,22088.6,22120.35,21826.05,21846.2,774431678,47586.73
31-JAN-2024,21823.15,22067.15,21783.4,22051.55,882864530,58089.36
01-FEB-2024,22123.45,22169.85,21985.7,22039.6,815361681,51181.67
02-FEB-2024,22158.7,22444.75,22155.0,22199.0,983736401,53357.03
05-FEB-2024,22284.15,22329.7,22064.15,22113.4,915604325,50541.12
06-FEB-2024,22177.05,22315.15,22074.35,22299.3,726098344,45410.47
07-FEB-2024,22428.65,22437.65,22261.95,22363.7,810238836,48842.35
08-FEB-2024,22456.4,22459.95,22150.8,22202.75,1062401360,62565.53
09-FEB-2024,22223.15,22274.6,22044.45,22247.55,1012378162,52261.82
12-FEB-2024,22273.5,22301.9,22001.7,22042.1,768619385,39678.1
13-FEB-2024,22090.5,22196.85,21934.8,22181.6,724938020,42972.65
14-FEB-2024,22014.15,22336.85,21972.3,22313.4,678684857,44817.42
15-FEB-2024,22398.4,22447.55,22301.65,22405.55,889778899,47140.15
16-FEB-2024,22516.9,22570.2,22469.7,22540.9,742965569,44546.45
19-FEB-2024,22611.65,22686.05,22527.75,22618.25,500539701,31953.93
20-FEB-2024,22604.75,22704.35,22545.85,22685.65,566919896,36714.59
21-FEB-2024,22743.65,22757.25,22488.5,22547.6,693055476,43942.49
22-FEB-2024,22587.15,22759.05,22389.85,22725.4,625405833,45903.6
23-FEB-2024,22798.65,22804.8,22704.9,22734.3,566449439,38191.05
26-FEB-2024,22698.7,22743.4,22617.3,22667.75,476755445,33294.89
27-FEB-2024,22643.65,22753.0,22641.0,22722.3,503630614,37422.68
28-FEB-2024,22746.4,22764.55,22421.45,22457.65,536755495,34698.29
29-FEB-2024,22441.95,22609.35,22358.2,22526.3,1154430188,63372.34
01-MAR-2024,22605.7,22874.45,22604.65,22862.05,618456858,40130.98
02-MAR-2024,22935.15,22951.95,22903.7,22915.7,61641443,2923.98
04-MAR-2024,22947.75,22985.95,22889.35,22944.8,630436330,35351.28
05-MAR-2024,22927.75,22956.95,22824.85,22900.65,631442047,42485.28
06-MAR-2024,22878.55,23011.55,22724.1,22988.35,1169262403,51270.51
07-MAR-2024,23024.05,23070.65,22970.85,23036.05,721037787,48596.42
11-MAR-2024,23066.95,23073.55,22867.45,22895.45,611047204,45768.8
12-MAR-2024,22901.8,22990.05,22784.9,22840.9,568509930,41709.19
13-MAR-2024,22928.15,22944.05,22294.45,22399.0,902967552,57027.15
14-MAR-2024,22371.35,22664.2,22296.65,22623.7,754655931,51037.92
15-MAR-2024,22548.55,22613.9,22367.65,22494.7,1216448811,78538.63
18-MAR-2024,22462.3,22607.5,22393.7,22541.15,600701512,33944.05
19-MAR-2024,22449.2,22471.9,22254.55,22274.65,595006127,41417.88
20-MAR-2024,22310.3,22383.1,22140.2,22307.75,552665344,38744.84
21-MAR-2024,22472.6,22583.05,22445.15,22538.9,632169385,42802.09
22-MAR-2024,22476.7,22709.35,22414.5,22633.8,630024734,49320.98
26-MAR-2024,22494.15,22650.4,22493.7,22601.35,601129755,47157.32
27-MAR-2024,22661.7,22793.15,22661.7,22698.5,710924861,56313.41
28-MAR-2024,22747.55,23090.2,22747.55,22920.7,736358648,59807.29
01-APR-2024,23065.15,23161.75,23058.65,23107.15,561385098,35075.41
02-APR-2024,23124.3,23162.55,23056.3,23138.55,736195640,44874.62
03-APR-2024,23077.7,23212.55,23038.2,23136.6,757011381,47296.93
04-APR-2024,23304.2,23327.95,23034.0,23206.0,824995897,57048.93
05-APR-2024,23185.3,23262.9,23128.9,23240.55,650130039,39521.78
08-APR-2024,23324.9,23422.3,23289.25,23380.3,595270124,36851.44
09-APR-2024,23480.1,23480.4,23304.5,23348.9,580812422,35431.06
10-APR-2024,23431.95,23494.8,23391.8,23474.7,676665891,41711.48
12-APR-2024,23412.85,23466.8,23244.4,23254.9,803522069,54712.36
15-APR-2024,23026.7,23139.3,22908.6,22967.1,852000259,48171.15
16-APR-2024,22834.1,22944.65,22798.2,22870.3,720067372,43853.74
18-APR-2024,22964.05,23080.5,22702.65,22740.2,910216233,62139.57
19-APR-2024,22591.1,22896.5,22469.05,22859.8,732681812,51372.07
22-APR-2024,23067.3,23115.65,22934.35,23078.9,630973040,40578.36
23-APR-2024,23200.45,23200.7,23098.95,23116.0,540242144,38181.98
24-APR-2024,23177.0,23230.65,23148.3,23167.8,544822255,35069.52
25-APR-2024,23099.45,23372.9,23092.35,23329.8,798019923,66393.3
26-APR-2024,23389.2,23392.8,23200.7,23232.1,754831285,51540.36
29-APR-2024,23305.7,23457.9,23250.9,23443.8,671797595,46828.4
30-APR-2024,23499.75,23618.7,23402.75,23436.5,948976410,63370.13
02-MAY-2024,23422.9,23593.2,23421.9,23541.3,953765204,66364.04
03-MAY-2024,23668.5,23693.5,23234.75,23382.75,847844269,62829.29
06-MAY-2024,23458.6,23466.0,23256.4,23297.75,907239379,55773.43
07-MAY-2024,23350.5,23355.8,23020.45,23103.75,802221426,52868.51
08-MAY-2024,23040.8,23236.65,22982.85,23166.0,737481184,49741.51
09-MAY-2024,23114.6,23190.4,22763.3,22790.2,787651514,56370.85
10-MAY-2024,22844.25,22960.3,22784.65,22909.1,648137850,43806.02
13-MAY-2024,22904.4,22988.35,22630.85,22956.35,733206592,48985.22
14-MAY-2024,22979.4,23162.7,22942.25,23118.2,681745966,43231.6
15-MAY-2024,23177.8,23224.85,23078.05,23133.85,677790092,43913.27
16-MAY-2024,23258.8,23370.85,22997.5,23343.55,845774532,60532.96
17-MAY-2024,23368.35,23466.0,23307.25,23444.3,770240012,47179.61
18-MAY-2024,23505.25,23519.7,23472.5,23508.6,116951095,5094.28
21-MAY-2024,23450.95,23625.9,23449.75,23569.9,985969357,55526.83
22-MAY-2024,23634.5,23663.4,23498.75,23633.9,812590009,49953.73
23-MAY-2024,23662.9,24004.85,23632.45,23982.35,982425546,60819.79
24-MAY-2024,23962.2,24060.75,23926.4,23980.1,751651002,52266.59
27-MAY-2024,24075.0,24106.85,23903.3,23959.85,761506089,47937.08
28-MAY-2024,24011.45,24028.15,23840.05,23873.9,626888022,40676.16
29-MAY-2024,23744.95,23816.35,23670.95,23687.7,680057031,44658.04
30-MAY-2024,23609.9,23696.2,23393.3,23466.3,816045563,49436.64
31-MAY-2024,23561.85,23620.55,23439.7,23518.05,1694368417,110374.66
